longitude,latitude,elevation,max_temperature,min_temperature,precipitation,wind,relative_humidity
1.3030393,-3.1550174,-2.3545244,-1.5891181,-0.447644,1.2323385,1.0760705,-0.16753632
1.3030393,-3.1550174,-2.3437252,-1.5756832,-0.32965776,0.26098785,1.074826,0.12757675
1.3030393,-3.1550174,-2.2363105,-1.6181378,-0.3390217,0.21522242,1.1516873,0.24569622
1.3030393,-3.1550174,-2.171287,-1.59288,-0.46730837,-0.37184444,1.0800766,0.52632105
1.3030393,-3.1550174,-2.1099398,-1.6885376,-0.4457712,-0.5087787,1.160736,0.6175246
1.3030393,-3.1550174,-1.7141705,-1.6302295,-0.4467076,-0.1049043,0.93533504,0.994145
1.3030393,-3.1550174,-1.8005619,-1.4125814,-0.44858038,0.3068528,0.7192795,0.53951585
1.3030393,-3.1550174,-1.4838314,-1.3134308,-0.49540034,0.7577258,0.06781661,1.3463066
1.3030393,-3.1550174,-1.5265676,-1.0913492,-0.33387157,-0.059506226,0.5342573,-0.15138929
1.3030393,-3.1550174,-1.2423488,-1.1104271,-0.49352753,-0.36730132,0.47482064,0.7882988
1.3030393,-3.1550174,-1.3871006,-1.1390438,-0.49540034,-0.21093492,0.26491547,0.9584636
1.3030393,-3.1550174,-1.6128442,-1.0664945,-0.49540034,0.058418687,0.4983379,1.2296834
1.3030393,-3.1550174,-1.7601234,-1.2406127,-0.49540034,0.46548212,0.6664995,0.9920476
1.3030393,-3.1550174,-1.9639244,-1.2901882,-0.3216983,1.5073092,0.8479432,0.7316699
1.3030393,-3.1550174,-2.0223997,-1.3175956,-0.3535359,1.0841442,0.6978798,-0.22844449
1.3030393,-3.1550174,-1.6097424,-1.1559719,-0.49446392,1.8415995,0.707164,1.3300608
1.3030393,-3.1550174,-1.7118727,-1.4084166,-0.49165472,0.117542945,0.5737199,0.6530664
1.3030393,-3.1550174,-1.9632353,-1.3619313,-0.46918118,0.4077123,0.84703845,-0.60526735
1.3030393,-3.1550174,-2.0519245,-1.1338041,-0.0922808,0.77776164,1.2464696,-1.1219823
1.3030393,-3.1550174,-2.049397,-1.1371629,0.588013,0.91050756,1.2420658,-1.3594769
1.3030393,-3.1550174,-1.74381,-1.1136514,-0.44623944,0.63812375,0.93990475,0.4089104
1.3030393,-3.1550174,-1.5795283,-1.1253399,-0.49165472,1.1280559,0.8069913,0.89657265
1.3030393,-3.1550174,-1.9445095,-0.9493407,0.2818107,1.4523563,1.2640445,-1.7537776
1.3030393,-3.1550174,-2.2714643,-1.6384248,-0.4303206,2.438622,0.8348063,-0.6285282
1.3030393,-3.1550174,-1.7641442,-1.567219,-0.48884553,0.5499904,0.70701605,1.1026504
1.3030393,-3.1550174,-1.0465893,-1.1429399,-0.49540034,-0.58275783,0.35029012,0.94513535
1.3030393,-3.1550174,-0.9088455,-0.47159004,-0.49540034,0.6529259,-0.04601077,1.0972847
1.3030393,-3.1550174,-1.4611995,-0.74902403,-0.49540034,0.58463746,0.13372913,1.3334554
1.3030393,-3.1550174,-1.3350588,-0.7471431,-0.40129226,0.9681461,0.5017673,-0.013260894
1.3030393,-3.1550174,-1.8643216,-0.951356,0.41829076,1.2878603,1.214037,-1.7489564
1.3030393,-3.1550174,-1.849272,-0.8950631,-0.18077028,0.7879251,0.97387743,-0.5745786
1.3030393,-3.1550174,-1.74875,-1.0106046,-0.210267,1.354663,0.8101546,0.24696164
1.3030393,-3.1550174,-1.9545043,-1.0361311,0.16476086,0.6199947,1.0949472,-1.310162
1.3030393,-3.1550174,-1.2631425,-0.8598632,-0.45888078,0.4488421,0.6832513,-0.5801746
1.3030393,-3.1550174,-1.6717788,-1.0468793,-0.17468369,0.46909288,1.0168159,-1.1630807
1.3030393,-3.1550174,-1.2187979,-1.1358193,-0.48275894,0.6931509,0.6218606,0.5008565
1.3030393,-3.1550174,-0.9056288,-1.2611684,-0.17210853,2.0031002,0.6540675,0.2829705
1.3030393,-3.1550174,-1.6759146,-1.3639467,-0.49259114,0.90104,0.34686074,0.87344545
1.3030393,-3.1550174,-1.3989334,-1.1295048,-0.49352753,0.2815788,0.67304254,0.029997367
1.3030393,-3.1550174,-1.1556127,-0.55031943,-0.47386315,0.6984377,0.7137764,0.3971231
1.3030393,-3.1550174,-1.125054,-0.6868197,-0.48135436,1.0763634,0.6096622,0.5616696
1.3030393,-3.1550174,-1.2423488,-0.704957,-0.48978195,1.234649,0.627117,0.8654229
1.3030393,-3.1550174,-1.2580876,-0.6874914,-0.49071833,1.0158803,0.66255265,0.5888603
1.3030393,-3.1550174,-1.5761968,-0.7294088,-0.4392164,1.2465256,0.72410715,-0.6506463
1.3030393,-3.1550174,-1.4702753,-0.6962242,-0.42002022,0.52544886,0.77414376,-0.5878468
1.3030393,-3.1550174,-1.1196545,-0.70227003,-0.47573596,1.0222756,0.6329532,0.87537247
1.3030393,-3.1550174,-1.6515596,-0.8223794,-0.15314662,2.2816079,1.173242,-1.5164853
1.3030393,-3.1550174,-1.0480828,-0.65753126,-0.49071833,1.3984228,0.5083475,0.5032829
1.3030393,-3.1550174,-1.02637,-0.4187903,-0.47807693,1.3997205,0.38082454,-0.58000416
1.3030393,-3.1550174,-1.227529,-0.74029124,0.65402925,1.1411455,0.73381937,-1.1721301
1.3030393,-3.1550174,-1.6152568,-0.749427,0.25184548,0.48843646,1.2555478,-1.8345268
1.3030393,-3.1550174,-1.5655127,-0.65699387,-0.26340744,0.74212056,1.0160707,-0.4485871
1.3030393,-3.1550174,-1.6735021,-0.6626366,0.54774773,1.5397795,1.1262497,-1.2280972
1.3030393,-3.1550174,-1.781836,-0.89600354,0.15446034,1.8399068,1.2082864,-1.6824892
