longitude,latitude,elevation,max_temperature,min_temperature,precipitation,wind,relative_humidity
-1.8575777,-3.1953328,-2.7132518,-1.6334797,-0.45765993,-1.3881389,2.6829863,-2.5968611
-1.8575777,-3.1953328,-2.726098,-1.6408705,-0.49386102,-3.6125176,2.7812982,-2.5968611
-1.8575777,-3.1953328,-2.7230287,-1.656373,-0.5213358,-3.6125176,2.7456188,-2.5968611
-1.8575777,-3.1953328,-2.7099714,-1.6333631,-0.5593514,-3.6125176,3.067307,-2.5968611
-1.8575777,-3.1953328,-2.778355,-1.7359426,-0.6315809,-3.6125176,1.4059435,-2.5968611
-1.8575777,-3.1953328,-2.745368,-1.7168455,-0.56686807,-3.6125176,1.9619817,-2.5968611
-1.8575777,-3.1953328,-2.7614398,-1.7125298,-0.5407756,-3.533116,1.8107265,-2.5968611
-1.8575777,-3.1953328,-2.82844,-1.7711785,-0.64056635,-3.6125176,-1.6928965,-2.5968611
-1.8575777,-3.1953328,-2.8255079,-1.7648164,-0.6106723,-3.6125176,0.35518318,-2.5968611
-1.8575777,-3.1953328,-2.7777042,-1.727025,-0.58881336,-3.3369467,1.6087618,-2.5968611
-1.8575777,-3.1953328,-2.7919345,-1.7532479,-0.5793959,-3.6125176,1.249401,-2.5968611
-1.8575777,-3.1953328,-2.8315647,-1.7774135,-0.64056635,-3.3306859,-2.993894,-2.5968611
-1.8575777,-3.1953328,-2.7144337,-1.6854482,-0.50405616,-2.6201336,2.089403,-2.5968611
-1.8575777,-3.1953328,-2.806806,-1.7772545,-0.634,-3.6125176,0.31322655,-2.5348568
-1.8575777,-3.1953328,-2.804891,-1.7557079,-0.59633017,-1.6063391,-2.1425095,-2.5271614
-1.8575777,-3.1953328,-2.718319,-1.665492,-0.43977532,-2.6999424,1.754954,-2.4722438
-1.8575777,-3.1953328,-2.713206,-1.6663511,-0.4739893,-3.6125176,2.4685707,-2.4676986
-1.8575777,-3.1953328,-2.7230377,-1.6953944,-0.6018596,-2.494386,1.5263828,-2.4145298
-1.8575777,-3.1953328,-2.7293053,-1.6725966,-0.6156835,-3.6125176,1.8559839,-2.428069
-1.8575777,-3.1953328,-2.7555573,-1.7222958,-0.6080804,-1.5168386,1.4370083,-2.4356754
-1.8575777,-3.1953328,-2.75268,-1.7266008,-0.5655721,-3.3812904,1.266161,-2.513345
-1.8575777,-3.1953328,-2.7473655,-1.7103666,-0.6084259,-3.6125176,1.2107435,-2.467792
-1.8575777,-3.1953328,-2.7312937,-1.6953838,-0.63054407,-3.2200778,1.4165791,-2.4421444
-1.8575777,-3.1953328,-2.7097056,-1.672639,-0.5977125,-3.6125176,1.9264593,-2.5194664
-1.8575777,-3.1953328,-2.7152493,-1.6536267,-0.6118819,-2.5009208,1.9370705,-2.4814496
-1.8575777,-3.1953328,-2.7048767,-1.6549203,-0.5959845,-3.4208314,2.4817894,-2.5213122
-1.8575777,-3.1953328,-2.7175217,-1.6790648,-0.6239778,-3.6125176,1.3903781,-2.4291966
-1.8575777,-3.1953328,-2.720014,-1.6961154,-0.6270881,-3.6125176,0.821509,-2.3863394
-1.8575777,-3.1953328,-2.7105577,-1.7096986,-0.634,-3.6125176,0.0020063457,-2.3912563
-1.8575777,-3.1953328,-2.696511,-1.6464268,-0.6222498,-3.6125176,1.6849623,-2.4877017
-1.8575777,-3.1953328,-2.6937988,-1.6303834,-0.62363213,-3.6125176,1.4273813,-2.4928837
-1.8575777,-3.1953328,-2.6660805,-1.6461298,-0.6398752,-3.6125176,-2.2083364,-2.352099
-1.8575777,-3.1953328,-2.687412,-1.6468191,-0.64056635,-3.6125176,-2.5236075,-2.3422391
